X,Z,Type
-23931,60,echest
-240570,-4,echest
-346779,31,echest
-1579986,-3,echest
-1099054,31,echest
-3632514,3,echest
-158010,2,echest
-158009,2,echest
-110017,11,echest
-36742,-2,echest
-36601,-1,echest
-36578,0,echest
-1101129,2,echest
-36246,-22,echest
-36304,19,echest
-2781177,3,echest
-3475546,-3,echest
-240680,-3,echest
-3688392,0,echest
-320521,2,echest
-15860,-45,echest
-15775,-19,echest
-15775,-19,echest
-15697,33,echest
-110161,-3,echest
-3211722,-3,echest
-110136,2,echest
-1587917,-3,echest
-3001525,0,echest
-289676,1,echest
-363672,-20,echest
-3104717,3,echest
-241644,0,echest
-1591720,-6,echest
-34705,6,echest
-34374,31,echest
-2900268,2,echest
-2899999,6,echest
-2901194,-3,echest
-3266665,-3,echest
-278909,-3,echest
-278971,2,echest
-2420478,-2,echest
-3218468,-3,echest
-3218801,1,echest
-1112154,0,echest
-1112796,0,echest
-1114611,-20,echest
-1114205,-3,echest
-2424210,-3,echest
-3699995,-6,echest
-300967,-8,echest
-111277,-20,echest
-301041,67,echest
-3700314,-3,echest
-1599997,-3,echest
-31914,-28,echest
-31973,3,echest
-160233,-2,echest
-160081,2,echest
-111917,48,echest
-111691,2,echest
-2912563,2,echest
-311560,1,echest
-311549,1,echest
-370483,-2,echest
-1123053,2,echest
-3279222,-3,echest
-1125363,2,echest
-3120772,57,echest
-160364,1,echest
-11185,-62,echest
-11175,-44,echest
-11095,-63,echest
-11054,-9,echest
-10978,-19,echest
-11204,4,echest
-10835,16,echest
-10782,14,echest
-327821,-3,echest
-349257,38,echest
-28913,-10,echest
-31110,53,echest
-29780,40,echest
-30774,27,echest
-2918689,-3,echest
-2808395,-3,echest
-3500015,-33,echest
-3500003,-10,echest
-3500013,5,echest
-1129432,14,echest
-160806,12,echest
-291948,-2,echest
-350009,21,echest
-1131162,-4,echest
-312492,-18,echest
-2925686,-3,echest
-323821,-52,echest
-2813383,-3,echest
-1134900,-2,echest
-3028647,-4,echest
-2443685,2,echest
-28029,23,echest
-27878,9,echest
-2929902,1,echest
-2931586,13,echest
-324585,-56,echest
-1140105,-3,echest
-3511574,2,echest
-1141148,32,echest
-2448377,3,echest
-1140892,2,echest
-1140850,2,echest
-113693,25,echest
-1623665,0,echest
-2668215,-3,echest
-1143046,-10,echest
-281700,2,echest
-1731978,-3,echest
-283050,10,echest
-3410089,-3,echest
-3141629,2,echest
-2672417,2,echest
-2672186,4,echest
-3410954,5,echest
-173500,-3,echest
-2833832,-1,echest
-77508,-3,echest
-261128,2,echest
-304113,-3,echest
-303764,-24,echest
-2299999,4,echest
-2299994,4,echest
-303688,2,echest
-24993,-1,echest
-124995,-9,echest
-124987,-30,echest
-124973,-31,echest
-124946,-3,echest
-124931,-25,echest
-250638,1,echest
-1739197,2,echest
-230363,1,echest
-261983,2,echest
-782108,-3,echest
-99053,19,echest
-17404,-12,echest
-16967,-30,echest
-16967,-30,echest
-16967,-30,echest
-16967,-30,echest
-16967,-30,echest
-17324,23,echest
-17306,12,echest
-17200,70,echest
-17199,70,echest
-17037,1,echest
-16919,13,echest
-16919,13,echest
-1257182,-3,echest
-173926,2,echest
-78326,-3,echest
-993865,1,echest
-2306270,-1,echest
-1741180,2,echest
-1741181,2,echest
-251264,-15,echest
-125831,1,echest
-2624393,0,echest
-2624257,2,echest
-3047003,-12,echest
-256820,2,echest
-3047433,2,echest
-1260894,-3,echest
-2515621,-3,echest
-786402,-17,echest
-99773,3,echest
-786435,55,echest
-174173,2,echest
-304838,-3,echest
-78508,-10,echest
-78433,-3,echest
-342342,-51,echest
-342355,20,echest
-342355,20,echest
-342355,20,echest
-2520689,2,echest
-1000003,117,echest
-999999,9,echest
-1750008,7,echest
-790240,-3,echest
-2849031,2,echest
-174884,-3,echest
-2522477,-3,echest
-2522476,-3,echest
-1001742,-2,echest
-2632853,2,echest
-100144,-1,echest
-2579290,2,echest
-99992,17,echest
-1752151,1,echest
-257748,2,echest
-2852213,1,echest
-34126,10,echest
-33930,4,echest
-269136,0,echest
-1005624,-3,echest
-2637767,55,echest
-127028,2,echest
-2323438,-4,echest
-285405,10,echest
-100706,-53,echest
-100531,2,echest
-2697122,0,echest
-1277155,2,echest
-175624,33,echest
-1010003,-6,echest
-1009826,1,echest
-1278293,-2,echest
-802047,3,echest
-802369,2,echest
-306219,-3,echest
-12711,-27,echest
-12361,-40,echest
-12744,13,echest
-12668,43,echest
-12620,6,echest
-12502,77,echest
-80270,2,echest
-80002,3,echest
-127587,2,echest
-2700495,2,echest
-1281527,-3,echest
-805282,3,echest
-3440120,-3,echest
-2864258,2,echest
-270077,1,echest
-344047,-9,echest
-2865448,2,echest
-3440311,2,echest
-80396,-3,echest
-2330775,6,echest
-3060,-56,echest
-3038,-3,echest
-2891,-26,echest
-2797,-51,echest
-2735,-4,echest
-2673,-11,echest
-2607,-6,echest
-2607,-6,echest
-3021,73,echest
-2949,7,echest
-28427,-47,echest
-28407,-62,echest
-28408,-58,echest
-2905,24,echest
-2813,0,echest
-2811,1,echest
-2758,20,echest
-2691,15,echest
-2691,15,echest
-2564,18,echest
-2564,18,echest
-2564,18,echest
-2564,18,echest
-2564,18,echest
-2705553,-3,echest
-253734,-2,echest
-101815,-3,echest
-809571,-5,echest
-1021069,-4,echest
-2541859,2,echest
-813519,-2,echest
-128868,-6,echest
-128568,2,echest
-81232,-5,echest
-80955,9,echest
-80955,9,echest
-1007,-64,echest
-995,-19,echest
-980,-1,echest
-967,-28,echest
-961,-4,echest
-961,-4,echest
-961,-4,echest
-961,-4,echest
-961,-4,echest
-961,-4,echest
-961,-4,echest
-962,-11,echest
-950,-26,echest
-936,-57,echest
-888,-61,echest
-893,-32,echest
-888,-3,echest
-859,-55,echest
-861,-62,echest
-850,-4,echest
-849,-4,echest
-849,-3,echest
-850,-5,echest
-850,-4,echest
-862,-4,echest
-854,-8,echest
-856,-3,echest
-840,-40,echest
-840,-25,echest
-840,-25,echest
-848,-31,echest
-807,-64,echest
-796,-15,echest
-771,-17,echest
-754,-22,echest
-738,-60,echest
-737,-59,echest
-738,-58,echest
-739,-5,echest
-736,-58,echest
-708,-47,echest
-709,-21,echest
-690,-3,echest
-692,-12,echest
-645,-6,echest
-631,-59,echest
-630,-59,echest
-626,-52,echest
-615,-51,echest
-612,-29,echest
-620,-9,echest
-623,-1,echest
-607,-37,echest
-608,-28,echest
-577,-53,echest
-578,-29,echest
-589,-6,echest
-577,-1,echest
-575,-29,echest
-568,-6,echest
-569,-2,echest
-559,-62,echest
-550,-46,echest
-547,-25,echest
-548,-24,echest
-546,-21,echest
-545,-4,echest
-529,-64,echest
-532,-52,echest
-530,-62,echest
-529,-40,echest
-537,-1,echest
-519,-56,echest
-516,-47,echest
-524,-44,echest
-524,-43,echest
-523,-43,echest
-524,-45,echest
-524,-44,echest
-995,58,echest
-996,65,echest
-998,73,echest
-979,77,echest
-968,1,echest
-966,2,echest
-953,5,echest
-959,0,echest
-959,0,echest
-945,35,echest
-916,18,echest
-919,62,echest
-923,78,echest
-891,8,echest
-884,7,echest
-879,16,echest
-878,17,echest
-870,20,echest
-862,3,echest
-828,12,echest
-825,59,echest
-817,67,echest
-823,77,echest
-822,77,echest
-807,64,echest
-809,75,echest
-798,5,echest
-800,74,echest
-790,76,echest
-774,8,echest
-778,12,echest
-772,9,echest
-779,10,echest
-771,1,echest
-771,2,echest
-771,3,echest
-770,3,echest
-780,10,echest
-779,10,echest
-779,10,echest
-779,10,echest
-779,0,echest
-779,10,echest
-781,9,echest
-782,0,echest
-777,72,echest
-754,29,echest
-756,29,echest
-763,18,echest
-761,31,echest
-752,9,echest
-752,29,echest
-739,66,echest
-738,68,echest
-735,3,echest
-693,74,echest
-673,2,echest
-683,54,echest
-685,78,echest
-658,9,echest
-645,9,echest
-647,14,echest
-641,5,echest
-655,17,echest
-649,29,echest
-649,29,echest
-649,25,echest
-643,33,echest
-651,40,echest
-631,6,echest
-629,45,echest
-619,1,echest
-619,1,echest
-610,6,echest
-614,1,echest
-616,17,echest
-616,27,echest
-614,16,echest
-606,3,echest
-601,0,echest
-601,14,echest
-606,4,echest
-595,35,echest
-596,65,echest
-596,75,echest
-590,31,echest
-589,33,echest
-587,42,echest
-587,45,echest
-581,38,echest
-578,62,echest
-583,73,echest
-563,41,echest
-572,54,echest
-567,75,echest
-561,68,echest
-547,14,echest
-546,13,echest
-550,14,echest
-547,14,echest
-552,4,echest
-548,10,echest
-553,21,echest
-557,54,echest
-550,61,echest
-557,79,echest
-537,0,echest
-540,7,echest
-540,8,echest
-544,12,echest
-539,25,echest
-535,20,echest
-539,26,echest
-533,34,echest
-533,66,echest
-525,15,echest
-522,3,echest
-522,14,echest
-519,7,echest
-527,18,echest
-526,20,echest
-520,35,echest
-514,32,echest
-523,59,echest
-10196,-40,echest
-10195,-40,echest
-10008,-1,echest
-9847,-36,echest
-10047,55,echest
-9911,32,echest
-9886,56,echest
-26942,-64,echest
-26671,-3,echest
-265521,33,echest
-1294739,0,echest
-271127,-3,echest
-129246,-30,echest
-129245,-30,echest
-129245,11,echest
-2657295,2,echest
-2874499,2,echest
-344790,2,echest
-817681,1,echest
-2339874,-3,echest
-7805,-44,echest
-8079,1,echest
-8058,6,echest
-8038,0,echest
-7946,70,echest
-7706,41,echest
-81631,1,echest
-81630,1,echest
-254803,-3,echest
-254677,-40,echest
-102438,-2,echest
-2877071,2,echest
-1029587,-3,echest
-26314,-47,echest
-1029260,59,echest
-2606558,-2,echest
-26297,56,echest
-266141,-3,echest
-178123,2,echest
-177871,0,echest
-234431,27,echest
-1031647,-3,echest
-1031433,-3,echest
-1031433,-3,echest
-1031311,-1,echest
-1031310,-1,echest
-345318,1,echest
-2663349,-4,echest
-2552961,3,echest
-1032219,0,echest
-1306228,-3,echest
-1201652,39,echest
-1201642,51,echest
-82124,-2,echest
-81929,2,echest
-1302549,2,echest
-103378,-32,echest
-119941,5,echest
-1203046,2,echest
-1304739,-3,echest
-25779,4,echest
-130462,1,echest
-346030,5,echest
-1305674,-3,echest
-3087871,2,echest
-1681393,-3,echest
-2558101,-3,echest
-3087873,2,echest
-1682229,2,echest
-1313066,-4,echest
-2546,-19,echest
-2453,-7,echest
-2352,-2,echest
-2238,-18,echest
-2201,-16,echest
-2180,-23,echest
-2170,-30,echest
-2169,-15,echest
-2124,-15,echest
-2091,-17,echest
-2089,-10,echest
-2502,4,echest
-2485,14,echest
-2438,0,echest
-2438,0,echest
-2440,31,echest
-2421,26,echest
-2421,26,echest
-2421,26,echest
-2423,26,echest
-2423,26,echest
-2401,13,echest
-2416,24,echest
-2399,13,echest
-2398,48,echest
-2292,78,echest
-2222,16,echest
-2224,52,echest
-2212,65,echest
-2143,69,echest
-2118,31,echest
-2119,39,echest
-2062,53,echest
-25375,-7,echest
-25157,-57,echest
-25153,-57,echest
-25158,-56,echest
-25157,-57,echest
-25158,-56,echest
-3361771,5,echest
-1208884,0,echest
-1208888,2,echest
-25574,42,echest
-25363,0,echest
-141194,1,echest
-3363064,-3,echest
-3363063,-3,echest
-725356,-3,echest
-146454,-2,echest
-23345,61,echest
-23145,23,echest
-72469,74,echest
-16714,-20,echest
-16564,-12,echest
-16468,-29,echest
-16456,-32,echest
-16718,1,echest
-16497,50,echest
-168792,2,echest
-2250006,-4,echest
-168629,3,echest
-2036926,2,echest
-1417979,2,echest
-1418695,-1,echest
-94040,-3,echest
-93869,-5,echest
-1320818,-4,echest
-235601,-2,echest
-943018,45,echest
-943006,5,echest
-22069,-14,echest
-22513,44,echest
-22389,73,echest
-1421013,-4,echest
-121750,-26,echest
-121599,-4,echest
-943955,2,echest
-731883,1,echest
-1875001,6,echest
-1875001,7,echest
-1874997,2,echest
-1875001,34,echest
-1692915,2,echest
-168997,-9,echest
-142031,1,echest
-1220288,-3,echest
-132377,1,echest
-132335,0,echest
-94288,-6,echest
-1695444,-5,echest
-187564,2,echest
-948188,-3,echest
-3374998,7,echest
-1481419,-6,echest
-2046033,-3,echest
-2046093,3,echest
-169852,1,echest
-169842,2,echest
-13273,-1,echest
-12996,-10,echest
-12985,-8,echest
-132829,7,echest
-142494,8,echest
-188366,-3,echest
-14847,-61,echest
-14493,-27,echest
-14425,-8,echest
-14755,1,echest
-1428031,7,echest
-2019,-51,echest
-1985,-11,echest
-1972,-13,echest
-1972,-13,echest
-1943,-15,echest
-1930,-15,echest
-1930,-15,echest
-14393,4,echest
-1896,-5,echest
-1895,-5,echest
-1872,-10,echest
-1845,-36,echest
-1822,-13,echest
-1822,-13,echest
-1732,-21,echest
-1722,-36,echest
-1653,-11,echest
-1637,-50,echest
-1640,-1,echest
-1609,-61,echest
-1577,-32,echest
-1550,-55,echest
-2027,62,echest
-2014,74,echest
-1997,6,echest
-1997,29,echest
-1987,16,echest
-1991,38,echest
-1979,32,echest
-1968,30,echest
-1965,65,echest
-1937,16,echest
-1947,42,echest
-1947,42,echest
-1936,5,echest
-1936,5,echest
-1918,28,echest
-1894,4,echest
-1891,67,echest
-1842,0,echest
-1825,37,echest
-1820,9,echest
-1819,3,echest
-1802,21,echest
-1781,28,echest
-1428690,-3,echest
-1789,77,echest
-1738,4,echest
-1737,4,echest
-1736,4,echest
-1738,5,echest
-1692,5,echest
-1685,13,echest
-1658,31,echest
-1655,18,echest
-1623,13,echest
-1602,20,echest
-1615,33,echest
-1600,19,echest
-1573,19,echest
-1570,34,echest
-1556,9,echest
-1555,9,echest
-1554,9,echest
-1553,9,echest
-1555,10,echest
-1552,9,echest
-1544,18,echest
-148421,0,echest
-20354,-25,echest
-20355,-25,echest
-20260,-49,echest
-20180,-40,echest
-20081,-10,echest
-20299,1,echest
-12170,-2,echest
-12157,-18,echest
-12109,-2,echest
-11842,-5,echest
-33575,30,echest
-33569,20,echest
-33567,18,echest
-33567,19,echest
-12141,2,echest
-33508,63,echest
-33508,63,echest
-33508,63,echest
-12094,8,echest
-33505,74,echest
-33505,74,echest
-33505,74,echest
-33505,74,echest
-33505,74,echest
-12026,22,echest
-12026,23,echest
-11861,1,echest
-74236,-10,echest
-74137,-4,echest
-73956,26,echest
-225946,53,echest
-225925,32,echest
-225910,63,echest
-225891,45,echest
-1702661,2,echest
-955790,1,echest
-133459,-1,echest
-956880,2,echest
-14257,-3,echest
-14251,-5,echest
-14211,-6,echest
-14180,0,echest
-13895,6,echest
-13882,17,echest
-148902,6,echest
-1337419,3,echest
-1707348,-36,echest
-205093,2,echest
-746749,2,echest
-74266,1,echest
-122900,2,echest
-2374998,-3,echest
-170879,3,echest
-18903,-35,echest
-961630,-5,echest
-18912,19,echest
-18910,16,echest
-18897,60,echest
-18607,51,echest
-189437,0,echest
-95834,35,echest
-2057699,-4,echest
-75075,-16,echest
-171094,-7,echest
-237953,-4,echest
-1897340,3,echest
-754284,77,echest
-1898451,-17,echest
-1442048,-7,echest
-1898694,-3,echest
-144197,-3,echest
-1243450,65,echest
-1899718,2,echest
-206155,0,echest
-75451,-2,echest
-1443971,55,echest
-171694,-3,echest
-1720043,6,echest
-1503098,-5,echest
-1447559,2,echest
-9693,-44,echest
-9593,-38,echest
-9681,5,echest
-9509,1,echest
-9388,34,echest
-9281,45,echest
-9277,3,echest
-190457,27,echest
-97124,1,echest
-144588,58,echest
-1448927,-2,echest
-1448716,2,echest
-150046,-6,echest
-150094,59,echest
-2067483,9,echest
-1450329,3,echest
-124435,-2,echest
-124434,-2,echest
-172051,2,echest
-124910,0,echest
-975651,-3,echest
-975385,-3,echest
-135571,8,echest
-1451384,2,echest
-1356380,-3,echest
-1356378,-3,echest
-339625,-4,echest
-1249938,-224,echest
-1250303,2,echest
-227868,-2,echest
-1250442,-7,echest
-2392319,-2,echest
-2392318,0,echest
-1726791,16,echest
-766552,2,echest
-150924,-3,echest
-2393321,2,echest
-7632,-2,echest
-7465,-7,echest
-7382,-13,echest
-7363,-61,echest
-7312,-10,echest
-7218,-52,echest
-7213,-53,echest
-7621,9,echest
-7622,9,echest
-7493,50,echest
-7495,51,echest
-7380,0,echest
-7328,1,echest
-7283,6,echest
-76649,-16,echest
-183375,-4,echest
-183374,-3,echest
-978027,1,echest
-1455291,-2,echest
-1148120,3,echest
-1148113,2,echest
-192148,-4,echest
-1150490,-2,echest
-191141,2,echest
-18160,2,echest
-183834,-35,echest
-772863,52,echest
-1153874,-3,echest
-616664,2,echest
-229261,-3,echest
-228958,-3,echest
-192821,-15,echest
-229185,6,echest
-229184,3,echest
-2136955,2,echest
-146276,-3,echest
-1156017,0,echest
-1930304,-2,echest
-1930300,1,echest
-115496,4,echest
-1156762,-3,echest
-1465247,2,echest
-1157342,1,echest
-88377,-11,echest
-88438,0,echest
-88438,1,echest
-88438,2,echest
-88290,5,echest
-1848937,-1,echest
-1360831,-4,echest
-213888,25,echest
-213786,1,echest
-213785,1,echest
-61693,2,echest
-619313,-3,echest
-619085,-3,echest
-1934190,-3,echest
-1980291,2,echest
-218895,-2,echest
-218771,1,echest
-1850550,2,echest
-193213,-20,echest
-197736,-9,echest
-621053,78,echest
-1362781,6,echest
-1362780,6,echest
-152381,2,echest
-152349,2,echest
-1525930,2,echest
-623040,-3,echest
-623039,-3,echest
-1983062,45,echest
-1937665,-3,echest
-1364584,-4,echest
-1163214,13,echest
-62257,-9,echest
-1527674,-3,echest
-566078,2,echest
-566467,-3,echest
-214153,1,echest
-17742,-8,echest
-566470,2,echest
-17911,9,echest
-88982,7,echest
-17843,7,echest
-17817,8,echest
-17776,67,echest
-88684,13,echest
-17427,9,echest
-17427,9,echest
-17417,0,echest
-1855563,-6,echest
-1165113,-3,echest
-1530188,-3,echest
-193878,-3,echest
-56746,64,echest
-56497,3,echest
-2196887,-4,echest
-1989107,2,echest
-1166900,-3,echest
-571767,-3,echest
-629360,-3,echest
-179394,-13,echest
-1169394,-3,echest
-2200031,-3,echest
-136795,-3,echest
-630745,15,echest
-1169636,0,echest
-21493,1,echest
-1502,-2,echest
-1452,-15,echest
-1429,-7,echest
-1414,-24,echest
-1338,-42,echest
-1342,-14,echest
-1318,-35,echest
-1304,-30,echest
-1296,-2,echest
-1263,-26,echest
-1251,-3,echest
-1242,-37,echest
-1222,-6,echest
-1221,-6,echest
-1207,-64,echest
-1187,-58,echest
-1191,-25,echest
-1200,-3,echest
-1123,-38,echest
-1128,-4,echest
-1128,-4,echest
-1126,-4,echest
-1112,-57,echest
-1119,-43,echest
-1089,-2,echest
-1078,-18,echest
-1083,-6,echest
-1047,-59,echest
-1050,-64,echest
-19245,36,echest
-18964,1,echest
-1526,2,echest
-1481,9,echest
-1428,76,echest
-21801,-49,echest
-1395,78,echest
-1395,79,echest
-1404,76,echest
-1369,4,echest
-1375,35,echest
-1338,59,echest
-1324,0,echest
-1285,79,echest
-1265,63,echest
-1276,79,echest
-1274,78,echest
-1274,78,echest
-1249,19,echest
-1244,9,echest
-1241,5,echest
-1246,60,echest
-1244,60,echest
-1248,59,echest
-1185,11,echest
-1195,17,echest
-1193,55,echest
-1124,16,echest
-1122,71,echest
-1076,0,echest
-1075,2,echest
-1064,40,echest
-1028,2,echest
-1025,36,echest
-1032,73,echest
-194496,2,echest
-214855,7,echest
-1862849,-3,echest
-1862848,-2,echest
-15285,-2,echest
-15104,-3,echest
-1374023,-27,echest
-1862673,2,echest
-1945666,-3,echest
-2150468,-4,echest
-15180,10,echest
-15159,22,echest
-1171702,-6,echest
-14895,62,echest
-633849,1,echest
-898521,-27,echest
-1375006,4,echest
-153161,3,echest
-63271,67,echest
-900011,2,echest
-19733,-35,echest
-19697,13,echest
-199504,3,echest
-89827,-5,echest
-90001,77,echest
-636014,-3,echest
-194792,-3,echest
-186792,-3,echest
-186572,70,echest
-637078,18,echest
-1380433,-3,echest
-1380778,1,echest
-57712,-1,echest
-57712,0,echest
-11300,-56,echest
-11300,-42,echest
-2207204,-1,echest
-11298,10,echest
-2156376,2,echest
-153955,-3,echest
-153827,-3,echest
-117683,-2,echest
-117618,-4,echest
-13816,-7,echest
-13739,-2,echest
-13545,-29,echest
-13406,-9,echest
-1541735,-3,echest
-137796,-6,echest
-1542205,2,echest
-1382400,2,echest
-1178750,2,echest
-1543210,-4,echest
-199998,-10,echest
-199995,8,echest
-581773,6,echest
-215985,0,echest
-1544661,3,echest
-215948,1,echest
-1544311,2,echest
-1384760,-3,echest
-642024,-5,echest
-1384550,75,echest
-1384550,75,echest
-1384550,75,echest
-221067,50,echest
-2161539,1,echest
-117927,-49,echest
-117914,-3,echest
-1546386,2,echest
-584861,-3,echest
-180981,1,echest
-180981,1,echest
-64276,-63,echest
-64159,-17,echest
-64281,1,echest
-585838,2,echest
-586561,-1,echest
-586527,-1,echest
-586499,-2,echest
-586499,-1,echest
-586511,-3,echest
-586499,-3,echest
-586499,-3,echest
-586719,2,echest
-586583,0,echest
-586499,0,echest
-586499,1,echest
-586508,2,echest
-586499,2,echest
-586499,2,echest
-586498,2,echest
-195874,-3,echest
-1185235,56,echest
-216292,0,echest
-155012,3,echest
-154873,10,echest
-913784,-6,echest
-1391106,4,echest
-1815787,-1,echest
-589004,3,echest
-1963846,-3,echest
-590244,-4,echest
-1189294,2,echest
-649857,-3,echest
-91460,-59,echest
-91625,58,echest
-591352,-5,echest
-1394462,6,echest
-1394462,6,echest
-1394462,6,echest
-196138,-3,echest
-196487,4,echest
-1394839,-52,echest
-917270,2,echest
-155593,6,echest
-1556209,-3,echest
-1819268,-3,echest
-59243,-4,echest
-119223,-4,echest
-119007,2,echest
-593725,1,echest
-2171502,1,echest
-653677,1,echest
-2016289,2,echest
-9137,-2,echest
